item,itemLabel,image
http://www.wikidata.org/entity/Q2132873,advice,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20bon%20conseil.jpg
http://www.wikidata.org/entity/Q2200417,cognition,http://commons.wikimedia.org/wiki/Special:FilePath/RobertFuddBewusstsein17Jh.png
http://www.wikidata.org/entity/Q2219270,tearing,http://commons.wikimedia.org/wiki/Special:FilePath/Mending%20the%20Tears%20LACMA%2054.86.5.jpg
http://www.wikidata.org/entity/Q2251535,driveway,http://commons.wikimedia.org/wiki/Special:FilePath/South%20Drive%20514.jpg
http://www.wikidata.org/entity/Q2251595,protection,http://commons.wikimedia.org/wiki/Special:FilePath/CDCA%20auto%20repair%20notice.jpg
http://www.wikidata.org/entity/Q2251595,protection,http://commons.wikimedia.org/wiki/Special:FilePath/Cybersecurity.png
http://www.wikidata.org/entity/Q2251595,protection,http://commons.wikimedia.org/wiki/Special:FilePath/Dresden-Zwinger-Armoury-Armor.02.JPG
http://www.wikidata.org/entity/Q2251595,protection,http://commons.wikimedia.org/wiki/Special:FilePath/Green%20Sea%20Turtle%20grazing%20seagrass.svg
http://www.wikidata.org/entity/Q2251595,protection,http://commons.wikimedia.org/wiki/Special:FilePath/Safety%20instructions%20at%20a%20construction%20site%20in%20China.JPG
http://www.wikidata.org/entity/Q2251595,protection,http://commons.wikimedia.org/wiki/Special:FilePath/Winterschutz.jpg
http://www.wikidata.org/entity/Q4393498,representation,http://commons.wikimedia.org/wiki/Special:FilePath/Holobiont%20representation.png
http://www.wikidata.org/entity/Q5410500,faith,http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20and%20Eve%20by%20Harald%20Slott-Moller%20-%20Statens%20Museum%20for%20Kunst%20-%20DSC08287.JPG
http://www.wikidata.org/entity/Q6958747,work,http://commons.wikimedia.org/wiki/Special:FilePath/Ford%20Madox%20Brown%20-%20Work%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q11771944,civil service,http://commons.wikimedia.org/wiki/Special:FilePath/Palastexamen-SongDynastie-Kaiser.jpg
http://www.wikidata.org/entity/Q12896105,lunch,http://commons.wikimedia.org/wiki/Special:FilePath/Fritz%20Syberg%2C%20Ved%20frokosten%2C%201906%2C%20privat%20eje.png
http://www.wikidata.org/entity/Q12896105,lunch,http://commons.wikimedia.org/wiki/Special:FilePath/Sentados%20a%20la%20mesa%20en%20Can%20Masdeu.JPG
http://www.wikidata.org/entity/Q16511806,challenge,http://commons.wikimedia.org/wiki/Special:FilePath/Balancing%20on%20great%20white%20balls.jpg
http://www.wikidata.org/entity/Q17781833,destruction,http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20The%20Edge%20of%20Doom%20-%20Samuel%20Colman.jpg
http://www.wikidata.org/entity/Q34439356,hurricane,http://commons.wikimedia.org/wiki/Special:FilePath/Donna%20navy%20radar.jpg
http://www.wikidata.org/entity/Q108,January,http://commons.wikimedia.org/wiki/Special:FilePath/15th-century%20unknown%20painters%20-%20Grimani%20Breviary%20-%20The%20Month%20of%20January%20-%20WGA15775.jpg
http://www.wikidata.org/entity/Q109,February,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20February.jpg
http://www.wikidata.org/entity/Q110,March,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20M%C3%A4rz.jpg
http://www.wikidata.org/entity/Q118,April,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20April.jpg
http://www.wikidata.org/entity/Q119,May,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20Mai.jpg
http://www.wikidata.org/entity/Q120,June,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20Juni.jpg
http://www.wikidata.org/entity/Q121,July,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20Juli.jpg
http://www.wikidata.org/entity/Q122,August,http://commons.wikimedia.org/wiki/Special:FilePath/Breviarium%20Grimani%20-%20August.jpg
